permalink,name,homepage_url,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
/organization/1085e313-fc69-2d7e-9a23-b8b06ccd47f2,Go2Web20,http://www.go2web20.net,"Software,Web Development",Software,0,NO EXIT,ISR, ,Tel Aviv,Tel Aviv,0,9/1/06,2006-09,2006-Q3,2006,9/1/06,,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/organization/e691c0a6-1f9c-8b4e-4287-c36f91d892bb,blogTV,http://www.blogtv.com,"Broadcasting,Messaging",Information Technology,3000000,EXIT,ISR, ,Tel Aviv,Ramat Gan,1,5/1/06,2006-05,2006-Q2,2006,5/1/06,1/1/07,3000000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/organization/ac88d380-ab57-cf90-a05b-e39ff838c6f9,Tapuz,http://www.tapuz.co.il,"Association,Financial Services,Information Technology",Financial Services,0,EXIT,ISR, ,Tel Aviv,Herzliya,0,1/1/96,1996-01,1996-Q0,1996,1/1/96,,18000000,18000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/organization/b94dd8d9-a918-4d94-8373-e4ca6c7d34b7,fring,http://www.fring.com,"Apps,Developer APIs,Email,Messaging,Mobile,Search Engine,VoIP,Wireless",Apps,35000000,EXIT,ISR, ,Tel Aviv,Tel Aviv,4,1/1/06,2006-01,2006-Q0,2006,1/1/06,5/24/11,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,22000000,10000000,0,0,0,0,0
/organization/8ce3826f-c2b7-4e85-8a6e-e4e1c102b753,MeeMix,http://www.meemix.biz,"Art,Music,Video",Media and Entertainment,0,NO EXIT,ISR, ,Tel Aviv,Tel Aviv,0,6/1/06,2006-06,2006-Q2,2006,6/1/06,,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/organization/3fa28a3f-f259-71c9-dcc7-03fbf7132752,Evergreen Venture Partners,http://www.evergreen.co.il,"Finance,Financial Services,Venture Capital",Financial Services,0,NO EXIT,ISR, ,Tel Aviv,Tel Aviv,0,1/1/87,1987-01,1987-Q0,1987,1/1/87,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/organization/9b6d3860-edaa-a093-4732-54c98a82803e,KnockaTV,http://knockatv.com,"Apps,Communities,Content,Digital Entertainment,Video",Apps,4500000,NO EXIT,ISR, ,Tel Aviv,Herzliya,2,1/1/06,2006-01,2006-Q0,2006,1/1/06,6/1/07,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0
/organization/08990e12-8c9c-fea5-9132-13e529715fc7,Sportingo,http://www.sportingo.com,"News,Sports",Content and Publishing,3200000,EXIT,ISR, ,Tel Aviv,Herzliya,1,7/1/06,2006-07,2006-Q2,2006,7/1/06,10/1/07,0,0,0,0,0,0,0,0,0,0,0,0,0,3200000,0,0,0,0,0,0,0
/organization/484b3556-34a1-8d45-179d-112e231371d5,G.ho.st,http://g.ho.st,"Cloud Computing,Software,Web Hosting",Internet Services,3000000,NO EXIT,ISR, ,Yerushalayim,Jerusalem,1,1/1/06,2006-01,2006-Q0,2006,1/1/06,5/29/08,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,0
/organization/1a766013-4ab1-3716-24b6-95542c984430,MyHeritage,http://www.myheritage.com,"Apps,Family,Internet,Social Media",Apps,49000000,NO EXIT,ISR, ,Tel Aviv,Or Yehuda,6,1/1/03,2003-01,2003-Q0,2003,1/1/03,11/28/12,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,3000000,4000000,15000000,25000000,0,0,0
