uuid,name,type,permalink,cb_url,rank,created_at,updated_at,legal_name,roles,domain,homepage_url,country_code,state_code,region,city,address,postal_code,status,short_description,category_list,category_groups_list,num_funding_rounds,total_funding_usd,total_funding,total_funding_currency_code,founded_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,linkedin_url,twitter_url,logo_url,alias1,alias2,alias3,primary_role,num_exits
e691c0a6-1f9c-8b4e-4287-c36f91d892bb,blogTV,organization,blogtv,https://www.crunchbase.com/organization/blogtv,310276,6/23/07 12:25,8/10/20 3:54,,company,blogtv.com,http://www.blogtv.com,ISR,,Tel Aviv,Ramat Gan,30 Ben Gurion St.,52573,acquired,YouNow is an online community platform that enables its users to broadcast in front of a live audience.,"Broadcasting,Messaging","Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Video",1,3000000,3000000,USD,5/1/06,1/1/07,,Nov-50,info@blogtv.com,,https://www.facebook.com/pg/blogTV/,https://www.linkedin.com/company/blogtv/,http://twitter.com/blogTV,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180312/499cf8bd4b7ee2b862e253c1c7477ba4.png,,,,company,
ac88d380-ab57-cf90-a05b-e39ff838c6f9,Tapuz,organization,tapuz,https://www.crunchbase.com/organization/tapuz,239678,6/23/07 14:08,2/12/18 23:58,,"investor,company",tapuz.co.il,http://www.tapuz.co.il,ISR,,Tel Aviv,Herzliya,Ben Gurion 30,,ipo,"Tapuz is a financial organization. Their website is in Hebrew, making it difficult to get information on them. If you have more","Association,Financial Services,Information Technology","Financial Services,Information Technology,Other",,,,,1/1/96,,,101-250,,,https://www.facebook.com/haaretz,,http://twitter.com/TapuzAnashim,https://res.cloudinary.com/crunchbase-production/image/upload/v1397178504/43ab836c9fd55772514f3fd9e48d5b6e.png,,,,investor,1
b94dd8d9-a918-4d94-8373-e4ca6c7d34b7,fring,organization,fring,https://www.crunchbase.com/organization/fring,28267,7/3/07 13:16,6/24/19 21:58,fring Ltd.,company,fring.com,http://www.fring.com,ISR,,Tel Aviv,Tel Aviv,13 Kehilat Saloniki Street,69353,acquired,"fring is a mobile communications service that supports free mobile group video calls, video calls, voice calls, and live chat.","Apps,Developer APIs,Email,Messaging,Mobile,Search Engine,VoIP,Wireless","Apps,Hardware,Information Technology,Internet Services,Messaging and Telecommunications,Mobile,Software",4,35000000,35000000,USD,1/1/06,5/24/11,,Nov-50,info@fring.com,,http://www.facebook.com/fring,https://www.linkedin.com/company/48079,http://twitter.com/fring,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180363/d5bfb38c0351cda282d49d160007bca9.jpg,,,,company,
1085e313-fc69-2d7e-9a23-b8b06ccd47f2,Go2Web20,organization,go2web20,https://www.crunchbase.com/organization/go2web20,270201,7/18/07 19:59,2/12/18 23:53,,company,go2web20.net,http://www.go2web20.net,ISR,,Tel Aviv,Tel Aviv,,,closed,Go2Web20.net is a directory of Web 2.0 applications and services.,"Software,Web Development",Software,,,,,9/1/06,,7/15/15,10-Jan,,,,,http://twitter.com/Go2web20,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180515/f2000d1695d31e8eeeb1aac7e43ebeba.jpg,,,,company,
8ce3826f-c2b7-4e85-8a6e-e4e1c102b753,MeeMix,organization,meemix,https://www.crunchbase.com/organization/meemix,1042816,8/2/07 14:49,6/24/19 21:30,,company,meemix.biz,http://www.meemix.biz,ISR,,Tel Aviv,Tel Aviv,12 Bialik St.,68013,operating,Personalizing your media offerings,"Art,Music,Video","Media and Entertainment,Music and Audio,Video",,,,,6/1/06,,,10-Jan,support@meemix.com,,,,http://twitter.com/MeeMix,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180774/d9057c2fb1c51c4b99b5c4e7f82a2768.jpg,,,,company,
3fa28a3f-f259-71c9-dcc7-03fbf7132752,Evergreen Venture Partners,organization,evergreen-venture-partners,https://www.crunchbase.com/organization/evergreen-venture-partners,137058,8/7/07 15:34,3/26/20 15:47,,investor,evergreen.co.il,http://www.evergreen.co.il,ISR,,Tel Aviv,Tel Aviv,96 Rothschild Blvd,65224,operating,"Evergreen was established in 1987 by Jacob Burak as one of Israel's first Venture Capital firms, and has grown into a leader, generating","Finance,Financial Services,Venture Capital","Financial Services,Lending and Investments",,,,,1/1/87,,,Nov-50,info@evergreen.co.il,-7107241,,,http://twitter.com/EvergreenVC,https://res.cloudinary.com/crunchbase-production/image/upload/v1407243789/iwdvdmqkv6chbf7uhuqa.jpg,,,,investor,29
9b6d3860-edaa-a093-4732-54c98a82803e,KnockaTV,organization,knockatv,https://www.crunchbase.com/organization/knockatv,440065,8/7/07 16:17,2/13/18 0:38,,company,knockatv.com,http://knockatv.com,ISR,,Tel Aviv,Herzliya,,,closed,KnockaTV is a video company offering community-based services.,"Apps,Communities,Content,Digital Entertainment,Video","Apps,Community and Lifestyle,Media and Entertainment,Software,Video",2,4500000,4500000,USD,1/1/06,6/1/07,2/28/08,unknown,,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180860/9c364add2c978527c048cc890bb55ec3.png,,,,company,
08990e12-8c9c-fea5-9132-13e529715fc7,Sportingo,organization,sportingo,https://www.crunchbase.com/organization/sportingo,598244,8/14/07 5:38,10/26/18 23:25,,company,sportingo.com,http://www.sportingo.com,ISR,,Tel Aviv,Herzliya,,46733,acquired,"Sportingo is a sports news company that provides a global platform for sports fans to write, talk and consume sport media online.","News,Sports","Content and Publishing,Media and Entertainment,Sports",1,3200000,3200000,USD,7/1/06,10/1/07,,10-Jan,info@sportingo.com,,,,,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180926/c17c8c04477681713d3cafd33ff628b1.gif,,,,company,
484b3556-34a1-8d45-179d-112e231371d5,G.ho.st,organization,g-ho-st,https://www.crunchbase.com/organization/g-ho-st,323875,8/21/07 18:44,2/12/18 23:26,,company,g.ho.st,http://g.ho.st,ISR,,Yerushalayim,Jerusalem,,,closed,"G.ho.st offers a free virtual computer that hosts all the users' data and applications on the web, making it accessible via any platform.","Cloud Computing,Software,Web Hosting","Internet Services,Software",1,3000000,3000000,USD,1/1/06,5/29/08,,Nov-50,info@G.ho.st,,,,http://twitter.com/ghostvc,https://res.cloudinary.com/crunchbase-production/image/upload/v1397181066/5dfed6f88761a29579b3a576fb055414.png,ghost,,,company,
1a766013-4ab1-3716-24b6-95542c984430,MyHeritage,organization,myheritage,https://www.crunchbase.com/organization/myheritage,7953,8/28/07 17:12,6/24/19 21:37,MyHeritage Ltd.,company,myheritage.com,http://www.myheritage.com,ISR,,Tel Aviv,Or Yehuda,,,operating,"MyHeritage is a destination to discover, preserve, and share family history.","Apps,Family,Internet,Social Media","Apps,Community and Lifestyle,Internet Services,Media and Entertainment,Software",6,49000000,49000000,USD,1/1/03,11/28/12,,251-500,pr@myheritage.com,844 921 2230,http://www.facebook.com/myheritage,https://www.linkedin.com/company/167538/,http://twitter.com/myheritage,https://res.cloudinary.com/crunchbase-production/image/upload/v1432708899/ahjfq1qjuh0l1qzfw6ky.jpg,MyHeritage,,,company,
a705497c-f54b-ec5d-9d6a-1951de507031,Pitango Venture Capital,organization,pitango-venture-capital,https://www.crunchbase.com/organization/pitango-venture-capital,9407,8/28/07 23:55,10/31/20 14:04,,investor,pitango.com,http://www.pitango.com,ISR,,Tel Aviv,Herzliya,11 HaMenofim St. Building B,4672562,operating,"Pitango Venture Capital is a venture capital firm focused on Early Stage, Health, and Growth investments.","Developer Tools,E-Commerce,Finance,Financial Services,FinTech,Health Care,Information Technology,Life Science,Quantum Computing,Venture Capital","Biotechnology,Commerce and Shopping,Financial Services,Health Care,Information Technology,Lending and Investments,Science and Engineering,Software",1,,,,1/1/93,12/10/15,,Nov-50,mail@pitango.com,972-9-971-8100,https://www.facebook.com/PitangoVC/,http://www.linkedin.com/company/pitango-venture-capital,http://twitter.com/Pitango,https://res.cloudinary.com/crunchbase-production/image/upload/mqlr8ayh0zqnbucfuxmz,"Pitango First, Pitango Healthcare, Pitango Growth",,,investor,55
147e556b-267a-8246-b182-cf49cb647639,Ceedo,organization,ceedo-technologies,https://www.crunchbase.com/organization/ceedo-technologies,185960,9/2/07 19:29,6/24/19 21:32,Ceedo Technologies (2005) Ltd.,company,ceedo.com,http://www.ceedo.com,ISR,,Tel Aviv,Herzliya,,,operating,Next Generation Endpoint Security,"Cyber Security,Virtualization","Hardware,Information Technology,Privacy and Security,Software",1,4500000,4500000,USD,10/1/05,4/2/07,,10-Jan,officeadmin@ceedo.com,,,http://www.linkedin.com/company/ceedo_72780,,https://res.cloudinary.com/crunchbase-production/image/upload/v1503055278/j1ny8pztu4qqilwgho7b.png,,,,company,
81774d9b-32f9-a110-0679-4a35eb8866e6,Extreme Reality,organization,extremereality,https://www.crunchbase.com/organization/extremereality,38446,9/3/07 16:47,6/24/19 21:32,Extreme Reality Ltd.,company,xtr3d.com,http://www.xtr3d.com,ISR,,Tel Aviv,Herzliya,16 Abba Eban Blvd.,46725,operating,"Extreme Reality provides software-based, motion analysis and control for computing devices and operating systems via a standard camera.","3D Technology,Motion Capture,Software","Hardware,Media and Entertainment,Software,Video",2,18150000,18150000,USD,3/1/05,11/26/13,,Nov-50,info@xtr3d.com,,https://www.facebook.com/XTR3D,http://www.linkedin.com/company/167291,http://twitter.com/EXTREMEREALITY1,https://res.cloudinary.com/crunchbase-production/image/upload/v1424467567/xo2jwuvmfnmpijrkitdx.jpg,Extreme Reality,XTR3D,,company,
